[DEBUG] 2021-04-15 19:57:09.327 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-15 19:57:09.327 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-15 19:57:09.342 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-15 19:57:09.639 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-15 19:57:09.639 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-15 19:57:10.202 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-04-15 19:57:10.202 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-04-15 19:57:10.202 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-15 19:57:10.889 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-15 19:57:10.936 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-15 19:57:10.936 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-04-15 19:57:10.998 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ad1701a
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ad1701a
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6ad1701a
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@713a35c5
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@77b3752b
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@35bfa1bb
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@309dcdf3
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@309dcdf3
[DEBUG] 2021-04-15 19:57:11.123 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@309dcdf3
