[DEBUG] 2021-03-17 17:08:38.555 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-17 17:08:38.571 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-17 17:08:38.571 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-17 17:08:38.727 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-17 17:08:38.727 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-17 17:08:39.071 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-17 17:08:39.071 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-17 17:08:39.087 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-17 17:08:39.571 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-17 17:08:39.602 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-17 17:08:39.618 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-17 17:08:39.665 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-17 17:08:39.727 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3bbf841e
[DEBUG] 2021-03-17 17:08:39.727 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3bbf841e
[DEBUG] 2021-03-17 17:08:39.727 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3bbf841e
[DEBUG] 2021-03-17 17:08:39.727 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@79b84841
[DEBUG] 2021-03-17 17:08:39.727 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3c3a0032
[DEBUG] 2021-03-17 17:08:39.727 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@49faf066
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58472096
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58472096
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@58472096
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@30b131b2
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@30b131b2
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@30b131b2
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@467b684d
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@467b684d
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@467b684d
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@65e21ce3
[DEBUG] 2021-03-17 17:08:39.743 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@65e21ce3
